Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-8 P-07,Betsy Hodges,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-5 P-07,Nekima Levy-Pounds,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-9 P-09,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-9 P-07,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-6 P-06,Betsy Hodges,David John Wilson,David Rosenfeld,1
MINNEAPOLIS W-12 P-09,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-13 P-01,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Betsy Hodges,Raymond Dehn,undervote,1
MINNEAPOLIS W-10 P-02,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-9 P-02,Betsy Hodges,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-6 P-09,Nekima Levy-Pounds,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-3 P-07,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-12,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Nekima Levy-Pounds,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-3 P-05,Tom Hoch,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-7 P-02D,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-06,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-09,Tom Hoch,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-11 P-06,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-07,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-12 P-06,Nekima Levy-Pounds,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-7 P-02D,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-4 P-08,Nekima Levy-Pounds,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-10 P-09,Captain Jack Sparrow,Aswar Rahman,Raymond Dehn,1
MINNEAPOLIS W-2 P-05,Tom Hoch,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-7 P-02D,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-1 P-08,Nekima Levy-Pounds,Tom Hoch,undervote,1
MINNEAPOLIS W-7 P-06,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-9 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-5 P-05,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-1 P-08,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-12 P-11,Jacob Frey,Aswar Rahman,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-12,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-2 P-01,Troy Benjegerdes,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-13 P-05,Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-06,Raymond Dehn,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-05,Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-10 P-03A,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-3 P-03,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-11,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-02,undervote,undervote,undervote,1
MINNEAPOLIS W-7 P-08,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-3 P-06,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-6 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-05,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-13 P-12,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-12 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-02,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-4 P-06,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-2 P-02,Jacob Frey,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-8 P-05,Betsy Hodges,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-13 P-06,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Gregg A. Iverson,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-12 P-01,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-05,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-11 P-05,Tom Hoch,Raymond Dehn,Gregg A. Iverson,1
MINNEAPOLIS W-6 P-04,undervote,Betsy Hodges,undervote,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-3 P-07,Jacob Frey,Betsy Hodges,Troy Benjegerdes,1
MINNEAPOLIS W-7 P-09,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-13 P-11,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-11 P-05,Tom Hoch,Al Flowers,Jacob Frey,1
MINNEAPOLIS W-6 P-05,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-11 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-07,Raymond Dehn,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-1 P-03,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-13 P-12,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-10 P-02,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Tom Hoch,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-13 P-06,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-7 P-09,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-7 P-06,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-04,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-9 P-04,Nekima Levy-Pounds,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-12,Nekima Levy-Pounds,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Tom Hoch,undervote,1
MINNEAPOLIS W-7 P-09,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-8 P-08,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-2 P-02,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-10 P-06,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-9 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-09,Aswar Rahman,Al Flowers,Tom Hoch,1
MINNEAPOLIS W-7 P-01C,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-10 P-01,Betsy Hodges,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-7 P-08,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-2 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-10 P-02,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-3 P-04,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-08,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-09,Nekima Levy-Pounds,Raymond Dehn,Aswar Rahman,1
MINNEAPOLIS W-12 P-12,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-10 P-02,Betsy Hodges,Charlie Gers,L.A. Nik,1
MINNEAPOLIS W-2 P-08,Jacob Frey,Betsy Hodges,David John Wilson,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-9 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-12 P-03,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-1 P-10,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Captain Jack Sparrow,1
MINNEAPOLIS W-3 P-11,Jacob Frey,Tom Hoch,UWI,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-8 P-08,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-9 P-09,Jacob Frey,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-3 P-05,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-03,Nekima Levy-Pounds,Raymond Dehn,David John Wilson,1
MINNEAPOLIS W-3 P-10,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-9 P-05,undervote,Jacob Frey,undervote,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-02,Raymond Dehn,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-08,Jacob Frey,Tom Hoch,Aswar Rahman,1
MINNEAPOLIS W-13 P-06,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-7 P-03,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-02,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-13 P-11,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-3 P-09,Tom Hoch,Raymond Dehn,undervote,1
MINNEAPOLIS W-7 P-09,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-4 P-04,Nekima Levy-Pounds,David Rosenfeld,Raymond Dehn,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-8 P-05,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-4 P-06,Raymond Dehn,Aswar Rahman,Tom Hoch,1
MINNEAPOLIS W-3 P-09,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-09,Tom Hoch,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-10 P-08,Tom Hoch,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-8 P-07,Tom Hoch,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-9 P-03,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-13 P-04,Nekima Levy-Pounds,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-12 P-02,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-12 P-08,Nekima Levy-Pounds,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-13 P-13,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-7 P-08,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-11 P-02,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-10 P-02,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Betsy Hodges,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-8 P-05,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-3 P-06,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Betsy Hodges,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-6 P-06,Jacob Frey,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-11 P-07,Jacob Frey,Tom Hoch,David John Wilson,1
MINNEAPOLIS W-13 P-01,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-03,Raymond Dehn,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-2 P-11,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-02,Betsy Hodges,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-6 P-07,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-03,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-03A,Raymond Dehn,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Gregg A. Iverson,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-02,Nekima Levy-Pounds,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-9 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-06,Betsy Hodges,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-7 P-06,Raymond Dehn,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-3 P-03,Raymond Dehn,Nekima Levy-Pounds,Captain Jack Sparrow,1
MINNEAPOLIS W-3 P-03,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-11 P-10,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-11 P-08,Betsy Hodges,Al Flowers,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-06,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-10 P-02,Betsy Hodges,Jacob Frey,Aswar Rahman,1
MINNEAPOLIS W-5 P-01,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-4 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-10 P-04,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-3 P-11,Tom Hoch,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-2 P-11,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-12 P-05,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-11 P-02,Jacob Frey,Aswar Rahman,Betsy Hodges,1
MINNEAPOLIS W-6 P-02,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-7 P-09,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-13 P-04,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-5 P-01,Raymond Dehn,Al Flowers,David Rosenfeld,1
MINNEAPOLIS W-6 P-07,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-12 P-12,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-05,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-04,Nekima Levy-Pounds,Raymond Dehn,David Rosenfeld,1
MINNEAPOLIS W-2 P-03,Tom Hoch,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-13 P-07,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-4 P-02,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-13 P-04,Raymond Dehn,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-04,Jacob Frey,Jacob Frey,undervote,1
MINNEAPOLIS W-6 P-09,Jacob Frey,Betsy Hodges,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-06,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-13 P-07,Tom Hoch,Nekima Levy-Pounds,Aswar Rahman,1
MINNEAPOLIS W-3 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-7 P-01C,Tom Hoch,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-13 P-13,Betsy Hodges,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-6 P-01,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-04,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-9 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-9 P-02,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-7 P-06,Tom Hoch,UWI,Charlie Gers,1
MINNEAPOLIS W-6 P-03,Raymond Dehn,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-13 P-01,Jacob Frey,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-8 P-06,Betsy Hodges,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-13 P-05,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-7 P-05,Tom Hoch,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-2 P-05,Jacob Frey,Tom Hoch,Charlie Gers,1
MINNEAPOLIS W-3 P-12,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-6 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-10 P-03A,Jacob Frey,Raymond Dehn,Al Flowers,1
MINNEAPOLIS W-3 P-04,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-03,David Rosenfeld,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-12 P-03,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-13 P-10,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-03,Tom Hoch,L.A. Nik,Captain Jack Sparrow,1
MINNEAPOLIS W-5 P-08,Nekima Levy-Pounds,Al Flowers,David Rosenfeld,1
MINNEAPOLIS W-3 P-02,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-1 P-08,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-12,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-10 P-07,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-4 P-06,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-8 P-05,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-3 P-01,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-12 P-02,Jacob Frey,Raymond Dehn,Ian Simpson,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-7 P-03,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-13 P-11,Nekima Levy-Pounds,Raymond Dehn,Jacob Frey,1
MINNEAPOLIS W-13 P-05,Nekima Levy-Pounds,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-03,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-1 P-02,Nekima Levy-Pounds,Captain Jack Sparrow,Al Flowers,1
MINNEAPOLIS W-9 P-07,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-12 P-03,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-11 P-06,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-11 P-01,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-4 P-08,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-3 P-04,Jacob Frey,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-12 P-02,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-12,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-3 P-03,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-7 P-04D,Tom Hoch,Aswar Rahman,Jacob Frey,1
MINNEAPOLIS W-12 P-04,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-13 P-12,Raymond Dehn,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-11 P-04,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-8 P-08,Betsy Hodges,Raymond Dehn,undervote,1
MINNEAPOLIS W-7 P-06,Betsy Hodges,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-3 P-07,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-7 P-09,Tom Hoch,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-5 P-07,Jacob Frey,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-6 P-02,Betsy Hodges,Betsy Hodges,Betsy Hodges,1
MINNEAPOLIS W-2 P-05,Raymond Dehn,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-03,Betsy Hodges,Raymond Dehn,undervote,1
MINNEAPOLIS W-6 P-03,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-3 P-02,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-07,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-10 P-03A,Jacob Frey,Tom Hoch,Al Flowers,1
MINNEAPOLIS W-6 P-02,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,Gregg A. Iverson,1
MINNEAPOLIS W-1 P-07,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-2 P-11,Betsy Hodges,Jacob Frey,Captain Jack Sparrow,1
MINNEAPOLIS W-2 P-08,Nekima Levy-Pounds,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-11 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-09,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-7 P-03,Betsy Hodges,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-8 P-02,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-1 P-02,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-12 P-12,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-7 P-08,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-8 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-11 P-02,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-13 P-13,Tom Hoch,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-04,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-2 P-05,Betsy Hodges,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-13 P-08,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-3 P-07,Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-7 P-02D,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-10 P-08,Tom Hoch,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-13 P-02,Jacob Frey,Tom Hoch,David Rosenfeld,1
MINNEAPOLIS W-3 P-09,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-5 P-03,Raymond Dehn,undervote,undervote,1
MINNEAPOLIS W-6 P-03,David Rosenfeld,Raymond Dehn,Captain Jack Sparrow,1
MINNEAPOLIS W-4 P-07,Nekima Levy-Pounds,Raymond Dehn,Betsy Hodges,1
MINNEAPOLIS W-13 P-09,Tom Hoch,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-7 P-08,Nekima Levy-Pounds,Aswar Rahman,Jacob Frey,1
MINNEAPOLIS W-7 P-08,Nekima Levy-Pounds,Betsy Hodges,undervote,1
MINNEAPOLIS W-3 P-03,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-3 P-08,Jacob Frey,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-7 P-09,Jacob Frey,Tom Hoch,Nekima Levy-Pounds,1
MINNEAPOLIS W-9 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-11 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
