Precinct,1st Choice,2nd Choice,3rd Choice,Count
MINNEAPOLIS W-3 P-09,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-5 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-6 P-07,Betsy Hodges,undervote,undervote,1
MINNEAPOLIS W-1 P-03,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-10 P-01,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-6 P-09,Betsy Hodges,Jacob Frey,undervote,1
MINNEAPOLIS W-3 P-04,Jacob Frey,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-11 P-02,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-5 P-08,Jacob Frey,Betsy Hodges,Nekima Levy-Pounds,1
MINNEAPOLIS W-2 P-05,Jacob Frey,Jacob Frey,Jacob Frey,1
MINNEAPOLIS W-3 P-04,Ronald Lischeid,Tom Hoch,Jacob Frey,1
MINNEAPOLIS W-11 P-02,Betsy Hodges,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-10 P-07,Raymond Dehn,Jacob Frey,Nekima Levy-Pounds,1
MINNEAPOLIS W-3 P-10,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-10 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-3 P-06,Tom Hoch,Betsy Hodges,undervote,1
MINNEAPOLIS W-7 P-06,Raymond Dehn,Betsy Hodges,Jacob Frey,1
MINNEAPOLIS W-1 P-02,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-2 P-02,Raymond Dehn,Nekima Levy-Pounds,undervote,1
MINNEAPOLIS W-11 P-07,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-12 P-08,Raymond Dehn,Jacob Frey,Tom Hoch,1
MINNEAPOLIS W-7 P-03,Tom Hoch,Captain Jack Sparrow,David John Wilson,1
MINNEAPOLIS W-6 P-05,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-8 P-06,Jacob Frey,Tom Hoch,David John Wilson,1
MINNEAPOLIS W-12 P-10,Jacob Frey,Betsy Hodges,undervote,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Tom Hoch,Raymond Dehn,1
MINNEAPOLIS W-7 P-08,Jacob Frey,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-7 P-04D,Tom Hoch,Jacob Frey,Charlie Gers,1
MINNEAPOLIS W-3 P-03,Tom Hoch,Raymond Dehn,undervote,1
MINNEAPOLIS W-1 P-03,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-13 P-10,Tom Hoch,Jacob Frey,Betsy Hodges,1
MINNEAPOLIS W-3 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-12 P-02,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-11 P-07,Aswar Rahman,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-11 P-04,Raymond Dehn,Nekima Levy-Pounds,Jacob Frey,1
MINNEAPOLIS W-9 P-06,undervote,undervote,undervote,1
MINNEAPOLIS W-12 P-06,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-1 P-04,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-5 P-6C,Raymond Dehn,Tom Hoch,Captain Jack Sparrow,1
MINNEAPOLIS W-7 P-02D,Jacob Frey,Betsy Hodges,Tom Hoch,1
MINNEAPOLIS W-13 P-11,Tom Hoch,Jacob Frey,Raymond Dehn,1
MINNEAPOLIS W-3 P-03,Tom Hoch,L.A. Nik,Jacob Frey,1
MINNEAPOLIS W-6 P-02,Raymond Dehn,Nekima Levy-Pounds,Tom Hoch,1
MINNEAPOLIS W-10 P-09,Raymond Dehn,Nekima Levy-Pounds,Betsy Hodges,1
MINNEAPOLIS W-11 P-10,Tom Hoch,Betsy Hodges,Raymond Dehn,1
MINNEAPOLIS W-3 P-08,Tom Hoch,Jacob Frey,undervote,1
MINNEAPOLIS W-3 P-06,Jacob Frey,Nekima Levy-Pounds,Al Flowers,1
MINNEAPOLIS W-6 P-03,undervote,undervote,undervote,1
MINNEAPOLIS W-8 P-08,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-12 P-11,Raymond Dehn,Betsy Hodges,undervote,1
MINNEAPOLIS W-13 P-07,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-6 P-02,Betsy Hodges,Nekima Levy-Pounds,Raymond Dehn,1
MINNEAPOLIS W-8 P-04,Tom Hoch,undervote,undervote,1
MINNEAPOLIS W-3 P-09,Tom Hoch,Betsy Hodges,Ronald Lischeid,1
MINNEAPOLIS W-2 P-09,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-11 P-10,Betsy Hodges,Raymond Dehn,Nekima Levy-Pounds,1
MINNEAPOLIS W-11 P-01,Jacob Frey,Tom Hoch,undervote,1
MINNEAPOLIS W-13 P-01,Nekima Levy-Pounds,Raymond Dehn,Tom Hoch,1
MINNEAPOLIS W-6 P-03,Jacob Frey,undervote,undervote,1
MINNEAPOLIS W-5 P-08,Jacob Frey,Tom Hoch,Betsy Hodges,1
MINNEAPOLIS W-6 P-02,Charlie Gers,undervote,undervote,1
